time,open,high,low,close,EMA,SMMA,Volume,Bollinger Bars Wicks (Open),Bollinger Bars Wicks (High,Bollinger Bars Wicks (Low),Bollinger Bars Wicks (Close),Bollinger Bars Body (Open),Bollinger Bars Body (High,Bollinger Bars Body (Low),Bollinger Bars Body (Close),RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,OnBalanceVolume,ATR
1735851600,5.65,5.65,5.57,5.57,5.44284547527878,5.415034563042796,2920,5.65,5.65,5.57,5.57,5.65,5.65,5.57,5.57,63.733438291450796,63.87321170185745,NaN,NaN,NaN,NaN,-0.01592932193403973,0.12901900069496985,0.14494832262900958,-12124929,0.11403340002308802
1736110800,5.63,5.65,5.56,5.56,5.466276380223024,5.43574391117954,18523,5.65,5.65,5.56,5.56,5.63,5.65,5.56,5.56,63.12825847117392,63.210508274260924,NaN,NaN,NaN,NaN,-0.011611040855184385,0.1304345215600291,0.1420455624152135,-12143452,0.1123167285928675
1736197200,5.62,5.63,5.56,5.56,5.485021104178419,5.4534947810110355,16660,5.63,5.63,5.56,5.56,5.62,5.63,5.56,5.56,63.12825847117392,61.95845857037896,NaN,NaN,NaN,NaN,-0.0095907582644294,0.13005711458467673,0.13964787284910612,-12143452,0.1092941051219484
1736283600,5.55,5.55,5.4,5.4,5.468016883342735,5.445852669438031,60144,5.55,5.55,5.4,5.4,5.55,5.55,5.4,5.4,53.6713542108594,60.70831258447301,NaN,NaN,NaN,NaN,-0.01930569009088373,0.11551576023550147,0.1348214503263852,-12203596,0.11291595475609488
1736370000,5.38,5.46,5.35,5.36,5.4464135066741886,5.433588002375454,25326,5.46,5.46,5.35,5.35,5.38,5.46,5.35,5.36,51.59060150864764,59.56432017578401,NaN,NaN,NaN,NaN,-0.028164632954679247,0.09961565913303616,0.1277802920877154,-12228922,0.1127076722735167
1736456400,5.36,5.44,5.36,5.37,5.431130805339351,5.424504002036103,3649,5.44,5.44,5.36,5.36,5.36,5.44,5.36,5.37,52.09066226511584,58.21047182822371,NaN,NaN,NaN,NaN,-0.03276758200980656,0.0868208145754572,0.11958839658526377,-12225273,0.11037140996826553
1736715600,5.35,5.39,5.35,5.35,5.4149046442714805,5.413860573173802,29256,5.39,5.39,5.35,5.35,5.35,5.39,5.35,5.35,50.95692868509732,57.11971799332975,NaN,NaN,NaN,NaN,-0.03630150836940889,0.07421151112350266,0.11051301949291155,-12254529,0.10534488068481798
1736802000,5.36,5.37,5.35,5.36,5.403923715417185,5.406166205577544,22257,5.37,5.37,5.35,5.35,5.36,5.37,5.35,5.36,51.525026862576965,56.672347744685844,NaN,NaN,NaN,NaN,-0.036982869359416665,0.06428443279364071,0.10126730215305738,-12232272,0.09924881777875959
1736888400,5.35,5.4,5.35,5.39,5.401138972333748,5.403856747637895,16324,5.4,5.4,5.35,5.35,5.35,5.4,5.35,5.39,53.27371718809269,56.650033451649065,NaN,NaN,NaN,NaN,-0.03447993485365697,0.058167383585986165,0.09264731843964313,-12215948,0.09573104508027681
1736974800,5.39,5.42,5.39,5.4,5.400911177866998,5.403305783689624,12159,5.42,5.42,5.39,5.39,5.39,5.42,5.39,5.4,53.87107166669146,56.60672964903857,NaN,NaN,NaN,NaN,-0.0313101201141472,0.053509668296959134,0.08481978841110634,-12203789,0.09103597043168564
1737061200,5.42,5.42,5.36,5.36,5.392728942293599,5.3971192431625346,50806,5.42,5.42,5.36,5.36,5.42,5.42,5.36,5.36,51.05923635397386,56.03053478105038,NaN,NaN,NaN,NaN,-0.0310080057840144,0.04605978118108833,0.07706778696510273,-12254595,0.08881911540085093
1737320400,5.42,5.42,5.36,5.36,5.386183153834879,5.391816494139315,10663,5.42,5.42,5.36,5.36,5.42,5.42,5.36,5.36,51.05923635397387,55.838186433481816,NaN,NaN,NaN,NaN,-0.029895767776131774,0.03969807724493801,0.06959384502106979,-12254595,0.08676060715793298
1737406800,5.4,5.42,5.4,5.42,5.392946523067903,5.39584270926227,18218,5.42,5.42,5.4,5.4,5.4,5.42,5.4,5.42,55.13322440589194,55.39603032890561,NaN,NaN,NaN,NaN,-0.024436866964884618,0.039047761314964013,0.06348462827984863,-12236377,0.08484913521808059
1737493200,5.41,5.45,5.36,5.45,5.404357218454322,5.403579465081947,24177,5.45,5.45,5.36,5.36,5.41,5.45,5.36,5.45,57.05802486353429,55.09135997130386,NaN,NaN,NaN,NaN,-0.018398560069920356,0.04048642819244819,0.05888498826236854,-12212200,0.08521705413107482
1737579600,5.41,5.49,5.41,5.49,5.4214857747634575,5.4159252557845265,71104,5.49,5.49,5.41,5.41,5.41,5.49,5.41,5.49,59.54977891634255,54.792527158796126,NaN,NaN,NaN,NaN,-0.011633520013682917,0.044343088245264894,0.05597660825894781,-12141096,0.08484440740742662
1737666000,5.49,5.49,5.41,5.41,5.419188619810766,5.415078790672451,18789,5.49,5.49,5.41,5.41,5.49,5.49,5.41,5.41,52.93411421014984,54.0643739972944,NaN,NaN,NaN,NaN,-0.0123992167823576,0.040477587281000815,0.052876804063358415,-12159885,0.08449837830689615
